MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1646785402,       54.39014967,    0.628756874,     35.82801886,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1497731114,       66.41666008,   0.6099684954,     42.71592896,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1456160234,       72.58969306,   0.5970251768,     46.32150935,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1439838374,       73.94132766,    0.583175255,     47.49081985,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1437587433,       74.31115485,   0.5765974412,     47.12766482,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1452579264,        74.0094687,   0.5741265954,     46.47041733,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1470361825,       73.51700418,   0.5738470893,     46.04601352,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1477394454,       73.30002095,   0.5733998828,     45.87827942,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1479590202,       73.32188004,   0.5723739575,     45.91505349,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1480780485,       73.42035262,   0.5710290526,     46.11193753,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1482607795,       73.51075558,   0.5702648521,     46.39172143,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1484113499,       73.56117843,   0.5704562054,     46.65127648,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1485040003,       73.56840568,   0.5714719953,     46.84224315,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1485331284,       73.54689482,   0.5729492431,     46.94663725,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1485065238,       73.51692293,    0.574495812,     46.96678844,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1484433684,       73.49320356,   0.5757979713,     46.91909208,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1483617243,       73.48120133,   0.5766405902,      46.8264532,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1482755127,       73.48254235,   0.5769178855,     46.71620555,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1481996035,       73.49662628,   0.5766546645,     46.61504703,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1481435322,       73.51943019,   0.5759800909,      46.5433191,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1482561656,       73.50602237,   0.5702697101,     46.38602151,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
