MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             236.2478049,          15.91979736,     1408.603867,       6.35199152,   5.66,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             305.7693518,          6.684449962,     1418.062146,      3.412298193,   5.66,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             226.5055497,          31.90868644,     3254.194133,     -8.562877536,   5.66,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             221.6125686,          32.48763984,     3071.581311,     -9.989458067,   5.66,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
         1.968359241e+51,         -108.5390325,  3.71909631e+51,      -115.550789,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
         1.968359241e+51,         -108.5390325,  3.71909631e+51,      -115.550789,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
         2.950345699e+51,         -94.31431775, 5.574704633e+51,     -101.3261007,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             2.178158367,         -14.05903951,     9.135465323,     -17.67672333,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
         2.601934139e+53,         -50.58561583, 5.075514679e+53,     -49.70172283,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
              911.723357,         -4.121518775,     6062.137456,     -21.22169485,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             915.0120446,         -4.031732006,     6170.988065,     -20.96719296,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             925.4874833,         -3.821665134,     6219.179596,     -20.75165937,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             865.1125986,         0.9453608587,     5281.424412,      -18.2292994,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             874.3498624,          1.135087695,     5400.182839,     -18.32144273,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             870.4067479,          1.612446311,     5432.278762,     -17.82699424,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             135.4045125,         -26.86433421,     549.5708142,     -27.23777852,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             135.4045125,         -26.86433421,     549.5708142,     -27.23777852,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
              86.5113392,         0.9453950718,     528.1430168,     -18.22926376,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
              86.5113392,         0.9453950718,     528.1430168,     -18.22926376,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             87.43506654,          1.135121966,     540.0188719,     -18.32140704,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             8.651133998,         0.9453954298,     52.81430225,      -18.2292634,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             8.743506733,          1.135122325,     54.00188777,     -18.32140668,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             8.704075542,             1.612481,     54.32284734,     -17.82695819,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             8.644370937,          1.429445478,     53.56354726,     -17.45775016,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             8.661633682,          1.328671615,     53.24618373,     -17.78195213,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             8.703250592,          1.371778204,     53.50615655,     -18.15377746,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             8.713212932,          1.581185847,     53.95863498,     -18.03257594,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             8.688544364,          1.620064524,     53.89164557,     -17.73621063,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
